ID1,ID2,lat,long,el
-45860000,LW,54.97254679,-126.7721293,
1605,FDI,54.64507925,-124.6906827,
-386420000,LS,55.98474572,-122.0407122,
-386420000,LW,55.98474572,-122.0407122,
-689170000,LW,52.45130602,-121.4599411,
52754,BG,54.13246665,-128.620767,
16713,CW,55.34794726,-127.2643628,
16545,BA,55.27957089,-127.9158241,
16545,CW,55.27957089,-127.9158241,
16562,BA,55.3253722,-127.2230394,
65333,CW,55.65227491,-127.7837639,
28612,CW,56.05970254,-129.1182951,
65332,CW,55.65545367,-127.8055737,
27241,CW,55.63509075,-127.7852075,
15160,LS,54.64712668,-127.1583479,
51220,BA,56.19005206,-129.2603438,
16808,CW,54.53032227,-128.2128437,
16153,YC,52.25978172,-126.3145185,
40418,BG,53.86272105,-128.5132693,
16154,YC,52.25666596,-126.3008681,
85444,YC,52.02388897,-118.3327847,
51933,LS,55.85937138,-123.87021,
31505,FDI,52.92319092,-121.134405,
42582,LW,52.87823977,-121.9383873,
15280,LW,54.91087823,-125.847193,
15280,LW,54.91087823,-125.847193,
15314,LW,54.90421064,-125.7709997,
15314,LW,54.90421064,-125.7709997,
51308,LS,54.0916476,-127.1743307,
51306,LS,54.09421446,-127.1682716,
13176,CW,53.63891636,-120.5527774,
55111,PY,52.39833923,-118.5743035,
55112,PY,52.39637008,-118.56169,
13270,CW,53.65377834,-120.618249,
27625,LS,55.73067981,-121.8159048,
27653,LS,55.17664445,-120.7900092,
27728,LS,55.00249917,-120.9782157,
44926,LS,54.98982022,-121.7635542,
45526,LS,55.66812728,-121.8692347,
10131,LS,52.67441232,-120.3225603,
10148,LS,52.75763085,-120.8909382,
44933,LS,54.98675442,-121.7456015,
13166,LW,52.45538539,-118.6514604,
12998,LW,54.65576933,-123.0288186,
13009,LW,54.36782293,-122.6859108,
63914,LS,55.78864728,-122.0776728,
66908,LS,55.37517573,-120.8814744,
69854,LS,55.05902422,-121.5649223,
27705,LS,54.51973468,-120.560494,
89817,LS,58.95327237,-123.1683295,
76629,FDI,54.62929921,-125.5114059,
58739,LW,54.08336865,-127.4609661,
78346,FDI,53.27885737,-121.9346725,
1656780,PW,52.46503537,-120.9156674,
1656780,LW,52.46503537,-120.9156674,
84800,FDI,52.5813064,-119.0285313,
84800,CW,52.5813064,-119.0285313,
84800,PW,52.5813064,-119.0285313,
94927,FDI,52.32979666,-121.0694948,
58743,LW,54.07769336,-127.4656484,
81730,CW,55.72466516,-127.6950307,
81351,LW,53.35296607,-119.6952357,
81351,FDI,53.35296607,-119.6952357,
106598,LW,53.98234055,-122.8824508,
95817,FDI,54.62744148,-125.5261521,
86493,CW,54.97977788,-127.2169633,
87602,FDI,53.48849838,-125.6743673,
89047,FDI,53.57178557,-125.606176,
89072,FDI,53.5618917,-125.6284014,
89087,FDI,53.54372412,-125.5086211,
87596,FDI,53.48534058,-125.6778742,
87600,FDI,53.4893379,-125.6941043,
89075,FDI,53.55774211,-125.5790884,
89046,FDI,53.56868608,-125.6052477,
36350,CW,54.6596284,-128.8301551,
43639,CW,54.90902985,-128.9331304,
94025,CW,52.05546798,-119.4707901,
104087,CW,52.76394019,-119.1011259,
1067485,FDI,53.89474911,-125.504331,
71501,FDI,52.07092744,-118.2546285,
71501,CW,52.07092744,-118.2546285,
115032,FDI,54.76295035,-124.8539922,
1047836,FDI,53.67913847,-123.6399701,
82037,CW,52.27650918,-119.344629,
116326,FDI,53.89876957,-125.4689219,
118582,FDI,53.82929817,-125.2493576,
118582,LW,53.82929817,-125.2493576,
118711,FDI,53.88569053,-126.0028966,
1050091,LW,52.52344642,-118.7963682,
1049499,CW,52.98303787,-119.3826105,
1051153,CW,52.9650632,-119.3660782,
1052161,CW,52.98012976,-119.39998,
-690060000,FDI,52.35900595,-120.7541567,
-588430000,FDI,54.07115949,-125.4083218,
-401010000,CW,55.76189374,-127.9933292,
-325810000,FDI,55.13463047,-122.9779659,
4242,FDI,52.38656829,-120.9281689,
16696,CW,55.63390868,-127.7385247,
36393,CW,54.31573896,-128.8613615,
49150,LS,55.55031357,-124.1297208,
49130,LS,55.28755977,-123.2323811,
49579,LS,55.24799548,-120.6032827,
55350,CW,52.37116914,-119.1053323,
58708,CW,54.67667938,-128.8663049,
109643,CW,52.68272233,-119.2308073,
-400420000,CW,55.38583824,-127.8112457,
-225920000,BA,56.21063987,-129.3591284,
-174840000,FDI,52.06152282,-120.3705282,
42538,CW,55.67476243,-128.6436502,
57641,CW,55.60604618,-127.7559742,
15122,LS,54.83237309,-126.6383617,
36599,CW,54.49920398,-127.8549615,
40579,FDI,54.66126256,-124.7919335,
13169,PW,53.60751661,-120.6589626,
13172,CW,53.63670999,-120.629156,
27591,LS,55.55692761,-122.7416778,
27595,PW,55.3254263,-121.5876586,
45201,LS,55.09929216,-120.9891188,
56528,LS,55.7754752,-122.2778088,
45496,FDI,52.61949933,-119.0945376,
45496,LW,52.61949933,-119.0945376,
61463,LS,55.28241941,-121.0632729,
70799,LS,55.31423134,-121.5821546,
62068,LS,55.32637364,-121.0094367,
77389,BA,54.58209276,-127.4018812,
69043,FDI,52.72209466,-118.9921768,
62521,BA,56.12289471,-129.3284303,
89077,FDI,53.5344893,-125.5398461,
82002,FDI,53.52356251,-123.8569599,
1063810,FDI,54.75173501,-124.8276878,
1049501,CW,52.98278426,-119.391982,
1050766,CW,52.96236856,-119.3527021,
1049661,CW,52.98845374,-119.3117496,
114235,FDI,52.66302146,-122.7196833,
1049551,CW,53.18205633,-119.9235301,
1050442,CW,52.9624833,-119.3873759,
120200,FDI,53.4307334,-123.6051719,
1052423,FDI,54.37252937,-126.112107,
1072960,LW,54.17510131,-125.7773439,
1072960,LS,54.17510131,-125.7773439,
1172533,LW,54.19028347,-125.7747533,
115703,FDI,54.33886334,-125.8203383,
98829,FDI,55.5420339,-123.6193509,
-587320000,LW,53.87021612,-125.4452411,
