Trial_ID,Trial_Name,SppComposition_Label,PlantingYear,Project_Name,EP,Trial_Type,Latitude,Longitude,Elevation,Slope,Aspect,BGCv12,BGC,SS_NoSpace,SMR,SNR,SiteSoilFactor1,SiteSoilFactor2,SiteSoilFactor3,SitePrep,PlantingDate,PlantingSeason,Comments_Site,SppVar,Seedlots,Seed_Class,StockType,Num_Planted,Planting_Comments,Assessor_Qual,Qual_Date,Qualitative_Vigour,Vigour_Variability,Best_Height_Offsite,Survival_est,Damage_Comments,SiteIndex,SiteIndex_Method,Local_Spp1,Best_Height_Local1,Local_Spp2,Best_Height_Local2,Local_Spp3,Best_Height_Local3
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDC,LongviewWA,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-FSJN,Ft St John,"",2011,AMAT,1392.27,Research,56.54392,-121.30372,840,,,"",BWBSmw1,"","",,,,,,,"","",FDC,SpringfieldOR,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",FDI,63077,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",YC,Maritime,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",YC,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",FDI,ID_north,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",BG,Kootenay,B,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",FDI,63057,A,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",FDI,2010.237,LC,1-0 412A,,,,,,,,,,,,,,,,,
EP1392-GAVN,Gavin Lake,"",2010,AMAT,1392.25,Research,52.45811,-121.66572,980,,,"",ICHmk3,"","",,,,,,,"","",PW,61256,A,1-0 412A,,,,,,,,,,,,,,,,,
